Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2020-12-28T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;;;;;45,25;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;57,70;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;50,50;53,05;50,50;52,30;52,70;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;52,50;52,50;51,50;51,50;51,10;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;54,75;55,00;53,45;53,45;53,49;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-04T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;;;;;53,97;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-05T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;56,01;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-05T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;50,25;50,25;47,75;47,75;48,68;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-05T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;49,00;49,00;45,80;45,80;46,01;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_W;2021-01-05T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;49,50;49,50;47,75;47,75;48,21;;UNVALIDATED;
