Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-01T00:00:00.000+0100;2021-01-02T00:00:00.000+0100;;;;;48,40;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-02T00:00:00.000+0100;2021-01-03T00:00:00.000+0100;;;;;50,56;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-03T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;;;;;38,62;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;2021-01-05T00:00:00.000+0100;;;;;48,02;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-05T00:00:00.000+0100;2021-01-06T00:00:00.000+0100;54,50;54,50;53,50;54,00;55,34;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-06T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;58,00;58,00;54,00;54,00;56,03;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;69,25;69,25;68,00;68,00;69,25;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;69,50;69,50;69,50;69,50;71,38;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;;;;;55,31;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;48,59;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;;;;;;;UNVALIDATED;
