Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-01-01T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;;;;;52,98;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;2021-03-01T00:00:00.000+0100;52,30;54,40;52,30;52,45;52,72;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-03-01T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;45,50;48,25;45,50;47,85;47,75;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;2021-05-01T00:00:00.000+0200;44,00;45,10;44,00;44,95;45,06;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-05-01T00:00:00.000+0200;2021-06-01T00:00:00.000+0200;;;;;43,27;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-06-01T00:00:00.000+0200;2021-07-01T00:00:00.000+0200;;;;;46,39;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-07-01T00:00:00.000+0200;2021-08-01T00:00:00.000+0200;;;;;46,81;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-08-01T00:00:00.000+0200;2021-09-01T00:00:00.000+0200;;;;;45,18;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-09-01T00:00:00.000+0200;2021-10-01T00:00:00.000+0200;;;;;51,12;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-04T00:00:00.000+0100;2021-10-01T00:00:00.000+0200;2021-11-01T00:00:00.000+0100;;;;;49,55;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-01-01T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;;;;;49,35;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;2021-03-01T00:00:00.000+0100;50,50;50,50;48,15;48,15;48,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-03-01T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;46,75;46,75;45,55;45,55;45,82;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;2021-05-01T00:00:00.000+0200;43,80;43,80;43,00;43,00;43,09;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-05-01T00:00:00.000+0200;2021-06-01T00:00:00.000+0200;;;;;41,22;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_M;2021-01-05T00:00:00.000+0100;2021-06-01T00:00:00.000+0200;2021-07-01T00:00:00.000+0200;;;;;44,96;;UNVALIDATED;
