Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;51,15;51,45;50,65;50,75;50,92;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;51,70;51,70;51,10;51,10;51,25;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;50,50;50,50;50,45;50,45;50,43;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;50,55;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;51,03;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-04T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;51,50;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,35;50,50;49,45;49,50;49,65;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,25;50,25;49,90;49,90;50,02;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;49,80;49,80;49,49;49,49;49,56;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;49,48;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;49,95;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-05T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;50,43;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,30;50,40;49,55;50,00;49,60;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,50;50,65;50,00;50,25;50,03;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;49,55;49,60;49,50;49,60;49,55;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;49,38;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;49,85;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-06T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;50,33;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,65;50,90;50,35;50,90;50,60;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,80;51,00;50,80;51,00;50,92;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;50,25;50,25;49,70;49,75;49,78;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;49,33;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;49,80;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-07T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;50,28;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;51,40;51,40;50,70;51,30;50,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;51,30;51,30;51,00;51,00;51,15;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;;;;;49,78;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;49,63;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;50,10;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-08T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;50,58;;UNVALIDATED;
